team,score
Milan,105
Roma,93
Juventus,90
Torino,90
Napoli,87
Inter,84
Atalanta,84
Lazio,84
Fiorentina,78
Sampdoria,66
Genoa,51
Udinese,45
Bologna,42
Cagliari,42
Chievo,39
Parma,24
Sassuolo,18
Empoli,12
Spal,6
